DESCRIPCIÓN,"CON LA
OFERTA","PRIMERA EMISIÓN DESPUES DE LA
ORDEN DE COMPRA",,,"EMISIÓN FINAL
(5)"
,,"FECHA
DE
EMISIÓN
(2)","PROPÓSITO
(3)","CANTIDAD
TIPO
(4)","CANTIDAD
TIPO
(4)"
"Diagrama de cargas para fundaciones y planos de
localización de pernos de anclaje.",,+4Sem,IFR,E,E
"Lista de cargas y momentos admisibles en
conexiones.",,+3Sem,IFR,E,E
"Hoja de datos FFM/F-MEX-033 del PAQUETE
completamente diligenciadas por el PROVEEDOR (*)",X,+2Sem,IFR,E,E
Hojas de datos de instrumentos (si aplica),,+2Sem,IFR,E,E
"Reporte y curvas de desempeño de las bombas de
dosificación, incluyendo el consumo de potencia a lo
largo la curva.",,+4Sem,IFR,E,E
Diagrama de terminales para conexionado de control,,+4Sem,IFR,E,E
"Lista de instrumentos del PAQUETE (incluye
instrumentos suministrados sueltos",,+6Sem,IFR,E,E
"Plan de inspección y pruebas (siglas en inglés ITP)
del PAQUETE",X,+6Sem,IFR,E,E
Lógica narrativa,,+6Sem,IFR,E,E
Diagrama de tubería e instrumentación (P&ID),,+6Sem,IFR,E,E
Lista de documentos y planos del PROVEEDOR,X,+3Sem,IFR,E,-
"Lista de repuestos Y consumibles para la instalación,
comisionamiento y puesta en marcha (incluyendo
precios) **",X,+4Sem,IFR,-,E
"Lista de repuestos y consumibles para dos (2) años
de operación (incluyendo precios)",X,+4Sem,IFR,E,E
"Lista de herramientas especiales para montaje
(incluyendo precios)",X,+4Sem,IFR,-,E
"Lista de requerimientos y consumo de servicios
auxiliares",,+4Sem,IFR,E,E
Procedimiento de pruebas en taller,,+4Sem,IFR,E,E
"Procedimiento de soldadura WPS, PQR, etc",,+2Sem,IFR,E,E
Procedimiento de ensayos no destructivos,,+2Sem,IFR,E,E
