doc_id,doc_type,file_name,page,type,section_number,section_title,text
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,1,paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
CAMBIOS
SECCIÓN DESCRIPCIÓN
REQUERIMIENTOS DE INSPECCIÓN:
Nivel de criticidad:
Criterio de disponibilidad operacional: Equipo no crítico.
Criterio de criticidad por seguridad de proceso: Equipo no crítico
Es requerida inspección: SI
Nivel de inspección: 3
Requerimientos especiales para la inspección: NO
REVISIONES:
EMITIDO PARA
0 01-11-2023
COMPRA
OAH MSC OVM
EMITIDO PARA
A1 COMENTARIOS DEL 13-09-2022
CLIENTE
MSC OVM OCA
REV. DESCRIPCIÓN ELABORÓ REVISÓ APROBÓ FECHA
EDP-F-046 – 20/11/2017 V-1 1/20"
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,paragraph,,,"MAYORES
Versión: 1
EDP-F-046 20/11/2017
INGENIERÍA DETALLE ACONDICIONAMIENTO
MR #: FFM/F-MEQ-013 REV: 0
ESTRATEGICO CUPIAGUA
Documento:
Requisición de materiales
Especialidad Mecánica FECHA: 01-11-2023
Paquete de Inyección de
Químicos
TABLA DE CONTENIDO
Página
1. INTRODUCCIÓN .................................................................................................................................................................. 4"
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,1.1,CONDICIONES GENERALES...................................................................................................................................... 4,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,1.2,GLOSARIO ................................................................................................................................................................... 4,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,1.3,ORDEN DE PREVALENCIA......................................................................................................................................... 5,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,paragraph,1.3,ORDEN DE PREVALENCIA......................................................................................................................................... 5,2. ALCANCE DEL SUMINISTRO ............................................................................................................................................ 5
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,2.1,ALCANCE GENERAL .................................................................................................................................................. 5,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,2.2,EXCLUSIONES ............................................................................................................................................................ 6,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,2.3,OPCIONES DEL SUMINISTRO .................................................................................................................................... 6,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,paragraph,2.3,OPCIONES DEL SUMINISTRO .................................................................................................................................... 6,"3. RESPONSABILIDAD ........................................................................................................................................................... 6
4. REQUERIMIENTOS GENERALES ...................................................................................................................................... 6"
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,4.1,GENERAL .................................................................................................................................................................... 6,
FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS),MR,FFMFMEQ013.0 (MR PAQUETE DE INYECCION DE QUIMICOS).pdf,2,section_header,4.2,PROPUESTAS ALTERNATIVAS ................................................................................................................................. 6,
